tag1,tag2,tag3,tag4,tag5,tag6,ch,2018,2019,2020,2021,2022,2023,2024,2025
D,1号线,,,,,丁家河,Dingjiahe,人民广场,市民文化广场,,,,,
W,3号线,,,,,万年泉路,Wannianquan Rd,,,,,,,
S,2号线,,,,,上臧,Shangzang,汉川路,,,,,,
X,15号线,2号线,,,,下王埠(外贸学院),Xiawangbu (Shandong Foreign Trade Vocational College),下王埠,,,,,,
I,蓝谷快线,2号线,,,,世博园,International Horticultural Exposition Park,世园会,世园大道,,,,,
S,西海岸快线,,,,,世纪大道,Shiji Ave,,,,,,,
D,8号线,7号线,,,,东南山,Dongnanshan,沧口,曲戈庄,,,,,
D,7号线,,,,,东城,DONGCHENG,,,,,,,
D,6号线,,,,,东岳路,DONGYUELU,,,,,,,
D,7号线,1号线,,,,东郭庄,Dongguozhuang,,,,,,,
D,2号线,,,,,东韩,Donghan,,,,,,,
L,西海岸快线,,,,,两河,Lianghe,,,,,,,
Z,3号线,,,,,中山公园,Zhongshan Park,八大关,,,,,,
Z,1号线,,,,,中山路,Zhongshan Rd,胶州路,,,,,,
Q,1号线,,,,,中心医院,Qingdao Central Hospital,开封路,,,,,,
D,15号线,,,,,丹山,DANSHAN,,,,,,,
D,15号线,,,,,丹山南,DANSHANNAN,,,,,,,
J,6号线,,,,,九顶山,Jiudingshan,富春江路,九顶山、薛辛庄,,,,,
Y,5号线,,,,,云岭路,YUNLINGLU,,,,,,,
M,8号线,3号线,2号线,,,五四广场,May 4th Square,,,,,,,
J,西海岸快线,1号线,,,,井冈山路,Jinggangshan Rd,,,,,,,
H,4号线,3号线,,,,人民会堂,Hall of the People,大学路,,,,,,
X,1号线,,,,,仙家寨(汽车北站),Xianjiazhai(North Coach Station),汽车北站,,,,,,
X,15号线,,,,,仙山路,XIANSHANLU,,,,,,,
C,蓝谷快线,,,,,会展中心,Convention Center,,,,,,,
T,15号线,,,,,体育馆,TIYUGUAN,,,,,,,
F,2号线,,,,,佛耳崖,Fo'erya,,,,,,,
X,4号线,,,,,信号山(青大附院),Xinhaoshan (The Affliated Hospital of Qingdao University),青医附院,沂水路,青大附院,,,,
H,8号线,,,,,健康中心,Health Center,市民健康中心,,,,,,
F,8号线,,,,,健身中心(红岛会展),Fitness Center(Hongdao International Convention and Exhibition Center),市民健身中心,红岛会展,,,,,
B,5号线,,,,,八号码头,BAHAOMATOU,,,,,,,
L,8号线支线,,,,,兰州西路,LANZHOUXILU,,,,,,,
X,7号线,1号线,,,,兴国路,Xingguo Rd,,,,,,,
Q,1号线,,,,,农业大学,Qingdao Agricultural University,春阳路,,,,,,
F,6号线,,,,,凤凰山路,FENGHUANGSHANLU,,,,,,,
F,西海岸快线,,,,,凤凰山路,Fenghuangshan Rd,泰山路,广城路,,,,,
F,1号线,,,,,凤凰岛,Fenghuangdao,东环路,马头山、婉台山、饮牛湾、滨海,,,,,
F,1号线,,,,,凤岗路,Fenggang Rd,庙头,,,,,,
L,2号线,,,,,利津路,Lijin Rd,,,,,,,
Q,7号线,,,,,前东城,QIANDONGCHENG,,,,,,,
Q,9号线,,,,,前金社区,QIANJINSHEQU,,,,,,,
J,4号线,,,,,劲松三路,Jingsong 3rd Rd,河马石,,,,,,
B,蓝谷快线,,,,,北九水,Beijiushui,大崂,,,,,,
B,蓝谷快线,,,,,北宅,Beizhai,,,,,,,
B,7号线,,,,,北安,BEI’AN,,,,,,,
B,5号线,,,,,北山公园,BEISHANGONGYUAN,,,,,,,
B,1号线,,,,,北岭,Beiling,,,,,,,
B,6号线,,,,,北门外,Beimenwai,朝阳路,,,,,,
H,9号线,,,,,华城路,HUACHENGLU,,,,,,,
H,6号线,,,,,华山,Huashan,华山一路,华山村,,,,,
H,2号线,,,,,华楼山路,Hualoushan Rd,环城南路,,,,,,
N,15号线,,,,,南万,NANWAN,,,,,,,
N,1号线,,,,,南北屯,Nanbeitun,薛家岛,,,,,,
N,4号线,,,,,南宅科,Nanzhaike,九水东路,南宅,,,,,
N,1号线,,,,,南岭,Nanling,南岭路,,,,,,
N,2号线,,,,,南王家上流,Nanwangjiashangliu,常川路,,,,,,
E,蓝谷快线,,,,,博览中心,Expo Center,黄埠,,,,,,
S,3号线,,,,,双山,Shuangshan,,,,,,,
S,西海岸快线,6号线,,,,双珠路,Shuangzhu Rd,珠海路,,,,,,
G,西海岸快线,,,,,古镇口,Guzhenkou,古镇口南,寨里,,,,,
T,2号线,1号线,,,,台东,Taidong,,,,,,,
H,5号线,,,,,合肥路,HEFEILU,,,,,,,
T,2号线,,,,,同安路,Tong’an Rd,,,,,,,
J,3号线,,,,,君峰路,Junfeng Rd,,,,,,,
Z,7号线,,,,,周村,ZHOUCUN,,,,,,,
J,西海岸快线,,,,,嘉陵江西路,Jialingjiang West Rd,嘉陵江路,,,,,,
S,2号线,,,,,四川路(轮渡),Sichuan Rd (Qingdao Ferry Terminal),轮渡,青岛轮渡,,,,,
S,5号线,,,,,四方厂,SIFANGCHANG,,,,,,,
S,15号线,,,,,四方厂,SIFANGCHANG,,,,,,,
T,1号线,,,,,团岛,Tuandao,贵州路,,,,,,
G,5号线,,,,,国信体育馆,GUOXINTIYUGUAN,,,,,,,
Q,2号线,,,,,国际邮轮港,Qingdap International Cruise Terminal,,,,,,,
M,5号线,3号线,,,,地铁大厦,Metro Building,河西,,,,,,
C,9号线,,,,,城子,CHENGZI,,,,,,,
B,4号线,,,,,埠西,Buxi,劲松四路,,,,,,
X,15号线,,,,,夏塔路,XIATALU,,,,,,,
D,5号线,4号线,,,,大埠东,Dabudong,劲松七路,,,,,,
D,8号线,,,,,大山,Danshan,嘉定山,大山村,,,,,
D,4号线,,,,,大河东,Dahedong,,,,,,,
D,8号线支线,,,,,大沽河博物馆,DAGUHEBOWUGUAN,,,,,,,
D,8号线,,,,,大洋,Dayang,,,,,,,
D,8号线支线,8号线,,,,大涧,Dajian,,,,,,,
